id;name;text;time;likes;reply;CleanedText
UCdAD49xvd3acMKWp3DfbT_w;@Dayan_D;AI can never replace my job. Cuz i have no job.;2024-04-08T13:23:39Z;668;;AI can never replace my job. Because I have no job.
UCMtoeosIGshH4XF2Ua370_w;@ogawasanjuro;Tina Huang: Will AI replace all jobs?<br>Any CEO: Yes.  I plan on it.;2024-04-08T15:12:02Z;172;;Tina Huang Will AI replace all jobs? Any CEO Yes. I plan on it.
UCeMAV8l5hKxTasZqznMe1SA;@isalutfi;"AI won&#39;t replace human, but human with AI will replace human without AI.";2024-04-08T13:07:00Z;108;;AI won't replace human, but human with AI will replace human without AI.
UCk3c1mEpGZ11RcJlZteS2Nw;@texaslonghorns2222;They took our Jerbs!;2024-04-08T13:33:26Z;58;;They took our Verbs!
UCvF3IOvkkWQgUxn36qNqOQg;@btk1243;"I am offered jobs all the time.  Employers say, &quot;Wow. you REALLY know how to TALK to people.&quot;  I am a former teacher, who does random day jobs via a Temp Agency. Many of the companies, that I have temped at,  have offered me full time jobs, based on my professionalism and communication skills. So, while I think AI will dominate many industries, I think companies will have a need for employees who know how to communicate with people.";2024-04-08T22:37:42Z;51;;I am offered jobs all the time. Employers say, Wow. You REALLY know how to TALK to people. I am a former teacher, who does random day jobs via a Temp Agency. Many of the companies, that I have temped at, have offered me full-time jobs, based on my and communication skills. So, while I think AI will dominate many industries, I think companies will have a need for employees who know how to communicate with people.
UCyh8Zl5N7HGYb2Ln_71lMuA;@aliasgur3342;My daughter is applying to universities for art and graphic design. Initially I wanted to dissuade her. Upon further consideration I decided not to when I thought it through and realised no job is safe.;2024-04-09T16:24:03Z;49;;My daughter is applying to universities for art and graphic design. Initially I wanted to dissuade her. Upon further consideration I decided not to when I thought it through and realized no job is safe.
UCTYpD2cWwehu8dd7V9lINqw;@Techtalk2030;Anyone who says that more jobs will be created. How is an AI that is basically a digital person, which can also be put into a robotic artificial body not be able to do all jobs? I dont understand this concept.;2024-04-08T16:59:49Z;40;;Anyone who says that more jobs will be created. How is an AI that is basically a digital person, which can also be put into a robotic artificial body not be able to do all jobs? I do not understand this concept.
UC9XTZhi605pu49mVwOUn7aQ;@nikolaimanek582;I come from an IT/AI background and created a trade school for yoga teachers, Ayurveda practitioners and other jobs that are growing in demand as people seek to get away from technology and have a space that is not being taken over by electronic devices. There are jobs and always will be jobs which whole point is to be non-robotic or AI infused. Our teachers can even use AI to augment text etc. No problem at all. But when we meet on the mat, the phones are off and the robots will wait outside on their charging stations.;2024-04-09T01:31:10Z;37;;I come from an IT AI background and created a trade school for yoga teachers, Ayurveda practitioners and other jobs that are growing in demand as people seek to get away from technology and have a space that is not being taken over by electronic devices. There are jobs and always will be jobs which whole point is to be non-robotic or AI infused. Our teachers can even use AI to augment text etc. No problem at all. But when we meet on the mat, the phones are off and the robots will wait outside on their charging stations.
UCut6HY1C_XYLJzi1EmR4DWA;@IronJhon788;We need to creat self sustainable communities for our survival. There will be  many AI tools that will only be available for a few groups of people. We need to ask ourselves how to survive even without technology.;2024-04-08T13:38:33Z;37;;We need to great self sustainable communities for our survival. There will be many AI tools that will only be available for a few groups of people. We need to ask ourselves how to survive even without technology.
UCizlqA8o4_mqMWNxDdqRcXQ;@KatharineOsborne;I think relying on multiple streams of income can be overly tied to the general economy being good, and lots of other people having money to spend (for instance the low hanging fruit of multiple streams are merch, courses, maybe personal services). Those streams of income could be adversely affected by a wider economic downturn, for instance if we rapidly got to 30% unemployment or something.;2024-04-08T13:23:51Z;37;;I think relying on multiple streams of income can be overly tied to the general economy being good, and lots of other people having money to spend for instance the low-hanging fruit of multiple streams are merch, courses, maybe personal services. Those streams of income could be adversely affected by a wider economic downturn, for instance if we rapidly got to 30 unemployment or something.
