id;name;text;time;likes;reply;CleanedText
UCkM3xW7cOcRekISepJFCNew;@davidbreier84;"I think for the foreseeable future (or say, a few years at least) we won&#39;t have to be afraid of A.I.. As far as I understand, one of the big problems with A.I. is that it will just complete an objective, no matter how. That means if it perceives cheating as a valid and fast way it will just half-arse it. When IBM trained Watson for medical cancer analysis from image data taken from (I think) MRI scans they had a model that produced fantastic results. In the end, they found out that the A.I. wasn&#39;t able to detect cancer. The A.I. recognized the machine the images were taken on. Coincidentally, it was the machine all the cancer patients were ferried to. The computer doesn&#39;t give a shit. It has no deeper reasoning and just completes fairly simple objectives. Sure it can compile and generate documents in record time and that might drive some companies out of business, but those were companies with fairly procedural content to begin with. If there is planning and reasoning involved, I don&#39;t think A.I. will usurp us in the short term.";2023-05-07T04:22:57Z;267;;I think for the foreseeable future or say, a few years at least we won't have to be afraid of A.I. As far as I understand, one of the big problems with A.I. is that it will just complete an objective, no matter how. That means if it perceives cheating as a valid and fast way it will just half ass it. When IBM trained Watson for medical cancer analysis from image data taken from I think MRI scans they had a model that produced fantastic results. In the end, they found out that the A.I. wasn't able to detect cancer. The A.I. recognized the machine the images were taken on. Coincidentally, it was the machine all the cancer patients were ferried to. The computer doesn't give a shit. It has no deeper reasoning and just completes fairly simple objectives. Sure it can compile and generate documents in record time and that might drive some companies out of business, but those were companies with fairly procedural content to begin with. If there is planning and reasoning involved, I don't think A.I. will usurp us in the short term.
UC9utSJU6hMcwBdwsW1fmuNg;@thedespoiler;50 years ago people were thinking the hard labor jobs would be automated and humans can do art and creative work but right now hard labor jobs still exist and the job of the artists and deskjobs is taken over.;2023-05-30T15:06:34Z;110;;50 years ago people were thinking the hard labor jobs would be automated and humans can do art and creative work but right now hard labor jobs still exist and the job of the artists and desk jobs is taken over.
UCrZdNj8aV8FkOJCVVgcD05A;@fenrirgg;"Yes, don&#39;t worry about AI. Everything&#39;s going to be alright.<br><br>-The AI";2023-05-12T11:40:59Z;52;UCkM3xW7cOcRekISepJFCNew;Yes, don't worry about AI. Everything.going to be alright. The AI
UCvutfU03mkx7MHBHopWTafw;@TheWeirdo879;I just graduated college with a CS degree and I will say ChatGPT was very useful for creating practice exams and getting instant feedback on very niche topics that are way outside the range of what you would find on tutoring platforms and my professors were too busy to help at all;2023-05-17T19:32:33Z;21;;I just graduated from college with a CS degree and I will say ChatGPT was very useful for creating practice exams and getting instant feedback on very niche topics that are way outside the range of what you would find on tutoring platforms and my professors were too busy to help at all
UCaBPZn_-UVQP-PsngtTc0dA;@megleyd;"If a company goes out of business those folks don&#39;t die it frees up labor talent to move to other sectors in need";2023-05-12T20:40:05Z;15;UCkM3xW7cOcRekISepJFCNew;If a company goes out of business those folks don't die it frees up labor talent to move to other sectors in need
UCQUtProl8QGL-eMNC7O-4xQ;@mehoyminoy1326;Pretty human if you ask me. If the average human were tasked with this as a job, they too would use the most efficient method, aka cheating (in this case, deductive reasoning), unless there were rules or regulations preventing them from doing so.;2023-05-12T23:28:23Z;15;UCkM3xW7cOcRekISepJFCNew;Pretty human if you ask me. If the average human were tasked with this as a job, they too would use the most efficient method, aka cheating in this case, deductive reasoning, unless there were rules or regulations preventing them from doing .
UCdUH-id1wc6hrHEL5uWGzow;@ChannelHandle1;"Yes, AI is not a problem for now as it does not actually reason. Modern AI still lacks a few mental abilities that make up a lot of what we call &quot;intelligence.&quot; The interaction between relational ability, spatial ability, and executive functions like working memory, are most likely what makes humans intelligent, but mainly relational ability. Each of these mental abilities have several parts and we do not fully understand how they work. If you want to know more, look into Relational Frame Theory (RFT) and papers discussing these abilities, such as &quot;Derived Relational Responding and Relational Frame Theory: A Fruitful Behavior Analytic Paradigm for the Investigation of Human Language&quot; or &quot;Relational knowledge: the foundation of higher cognition.&quot;  <br><br>Unfortunately for us humans, researchers are already trying to teach AI how to use relational reasoning, &quot;Cluster Flow: how a hierarchical clustering layer make allows deep-NNs more resilient to hacking, more human-like and easily implements relational reasoning.&quot;";2023-05-13T20:44:43Z;9;UCkM3xW7cOcRekISepJFCNew;Yes, AI is not a problem for now as it does not actually reason. Modern AI still lacks a few mental abilities that make up a lot of what we call intelligence. The interaction between relational ability, spatial ability, and executive functions like working memory, are most likely what makes humans intelligent, but mainly relational ability. Each of these mental abilities have several parts, and we do not fully understand how they work. If you want to know more, look into Relational Frame Theory RFT and papers discussing these abilities, such as Derived Relational Responding and Relational Frame Theory A Fruitful Behavior Analytic Paradigm for the Investigation of Human Language or Relational knowledge the foundation of higher cognition. Unfortunately for us humans, researchers are already trying to teach AI how to use relational reasoning, Cluster Flow how a hierarchical clustering layer make allows deep NHS more resilient to hacking, more human like and easily implements relational reasoning.
UC4JKs59i0N9ZhzaJ-l4Z7yw;@gabrielpauna62;time to work on the hard labor jobs;2023-06-23T17:04:44Z;7;UC9utSJU6hMcwBdwsW1fmuNg;Time to work on the hard labor jobs
UC4VNfTJdyprlQ9d6UjWWR3Q;@philipthegreat3955;You got the point. It is interesting because AI will replace intelectual labor first than phisical labor.;2023-07-19T02:28:28Z;7;UC9utSJU6hMcwBdwsW1fmuNg;You got the point. It is interesting because AI will replace intellectual labor first than physical labor.
UCYeKJ6jf23XIZBbnhfJDa5w;@michaelmitchell155;"I worked as a programmer for decades. I found that the perfect coder can create the perfect program to assist users. I found that if the user isn&#39;t committed to the programmer&#39;s intent, the whole thing goes south. Where there are back doors, back doors are used. It&#39;s who we are.";2023-05-18T13:59:28Z;7;;I worked as a programmer for decades. I found that the perfect coder can create the perfect program to assist users. Furthermore, I found that if the user isn't committed to the programmer.intent, the whole thing goes south. Where there are back doors, back doors are used. It .who we are.
UCg6fiXaicZo1YQY1D7GedKw;@nielskorpel8860;"Intellegence jobs can be hard labour too.<br>I think whats happing is that we approach work in a disrespectful way so as to make it full of hard labour.<br>... because we hate to pay people. So we pay people as little as we get away with, and then we still pay them only reluctantly.<br><br>But automation sounds like a solution.<br>Employees can believe they need less work to get the same goals achieved, leaving the difference for themselves.<br>Employers can believe that they need to pay less people to get the same goals achieved, leaving the difference for themselves.<br>Consumers can believe whatever happens, that the economy will achieve more goals, leaving the surpluss for themselves.<br><br>But then we can play this game again.<br><br>I have said it before and I&#39;ll say it again: you don&#39;t get time for other things unless you are payd for the time or the other things, and we are always working to avoid that.";2023-07-19T14:06:42Z;6;UC9utSJU6hMcwBdwsW1fmuNg;Intelligence jobs can be hard labor too. I think what is happening is that we approach work in a disrespectful way. As to make it full of hard labor. ... because we hate to pay people. So we pay people as little as we get away with, and then we still pay them only reluctantly. But automation sounds like a solution. Employees can believe they need less work to get the goals achieved, leaving the difference for themselves. Employers can believe that they need to pay less people to get the goals achieved, leaving the difference for themselves. Consumers can believe whatever happens, that the economy will achieve more goals, leaving the surpluses for themselves. But then we can play this game again. I have said it before and I'll say it again you don't get time for other things unless you are pay for the time or the other things, and we are always working to avoid that.
UCBgellcInbK5RKQ1ozfPx5w;@WhitefoxSpace;"The anxiety is real. I just don&#39;t see how this doesn&#39;t blow up in our faces.";2023-05-08T05:39:40Z;5;;The anxiety is real. I just don't see how this doesn't blow up in our faces.
UC67IiP4UvnihTXNhM4nqx4A;@patrickodea6500;"Everyone thought AI would result in the Terminator, but it&#39;s actually just going to make everyone dependent and uneducated and people will slowly die as they lose the ability to think critically and take care of themselves";2023-05-10T02:12:05Z;4;;Everyone thought AI would result in the Terminator, but it.actually just going to make everyone dependent and uneducated and people will slowly die as they lose the ability to think critically and take care of themselves
UCpWCKhtPAFVz967uzqbu_pQ;@azhuransmx126;This AI news will turn everytime more and more crazy every 18 months as this technology  reaches and surpasses the human intelligence, Singularity.;2023-05-28T17:18:57Z;3;;This AI news will turn every time more and more crazy every 18 months as this technology reaches and surpasses the human intelligence, Singularity.
UC-uyYNWOhbrj_MlIqQSzpkQ;@ericklestrange6255;programming safe? i doubt it;2023-05-27T17:22:00Z;3;;Programming safe? I doubt it
