id;name;text;time;likes;reply;CleanedText
UCIR1x2hc-xWspdxg6NvYKMQ;@roninatlanta;"So, about thirty years ago I asked the question (at a Business Round Table meeting)...&#39;How does the economy function without a wage earning workforce?&#39; Robots and AI don&#39;t earn wages. Robots and AI don&#39;t buy goods and services. Robots and AI don&#39;t contribute to 401ks (which fuel a significant amount of the investment industry.) Robots and AI don&#39;t buy homes or rent apartments. Robots and AI don&#39;t buy cars and trucks. Robots and AI don&#39;t buy medical services. Robots and AI don&#39;t need insurance. Robots and AI don&#39;t buy education services. And Robots and AI don&#39;t pay taxes since they&#39;re not wage earners. So, when Robots and AI replace wage earning and tax paying workers how will the economy function? Where will money come from? Will businesses be forced to share their income and profits with the populace? And since the marketplace&#39;s buying power will be lessened, how will income and profits be generated? A lot to think about. How does a natural economy function with an unnatural workforce?";2024-03-10T14:47:12Z;309;;So, about thirty years ago I asked at a Business Round Table meeting ... How does the economy function without a wage-earning workforce? Robots and AI don't earn wages. Robots and AI don't buy goods and services. Robots and AI don't contribute to 401ks which fuel a significant amount of the investment industry. Robots and AI don't buy homes or rent apartments. Robots and AI don't buy cars and trucks. Robots and AI don't buy medical services. Robots and AI don't need insurance. Robots and AI don't buy education services. And Robots and AI don't pay taxes since they're not wage earners. So, when Robots and AI replace wage-earning and tax paying workers how will the economy function? Where will money come from? Will businesses be forced to share their income and profit is with the populace? And since the marketplace.buying power will be lessened, how will income and profit is being generated? A lot to think about. How does a natural economy function with an unnatural workforce?
UCh44QgLu1vQLAPjoJkpyZRQ;@klebercoutinho7349;"I&#39;m favoured, $500K every week! I can now give back to the locals in my communitv and also support God&#39;s work and the church.God bless America";2024-03-07T02:05:27Z;36;;I'm favored, 500K every week! I can now give back to the locals in my community and also support God .work and the church. God bless America
UClGPX2ZOitw00L2LemYO-Lw;@jjkigtu;Interesting questions. Thanks for sharing!;2024-03-10T21:14:30Z;22;UCIR1x2hc-xWspdxg6NvYKMQ;Interesting questions. Thanks for sharing!
UCixj6pr6bvl-nhsbwPZxwJw;@maze-nc1ut;This comment needs a boost. You bring up a very valid concerning points;2024-03-14T18:12:17Z;20;UCIR1x2hc-xWspdxg6NvYKMQ;This comment needs a boost. You bring up a very valid concerning points
UCcBKjduyEgLG9n1MBfwSjYg;@ni7suj;It is bumming me out. I have been in video production for over 20 years and now it looks like my career is under threat. This needs to be regulated. Why are people running for office not talking about this? They have never said anything for many years!;2024-03-09T00:02:19Z;16;;It is bumming me out. I have been in video production for over 20 years, and now it looks like my career is under threat. This needs to be regulated. Why are people running for office not talking about this? They have never said anything for many years!
UCR3p_-6zmcrxJUF1wKTvNrA;@fan4life345;It wont;2024-03-11T03:39:53Z;13;UCIR1x2hc-xWspdxg6NvYKMQ;It wants
UC5BryunV491W8HA2gqzaamg;@Jesus_LovesAndSaves;Jesus loves and saves!!!;2024-03-18T03:54:33Z;11;;Jesus loves and saves!!!
UC6l3j5nAAqZHkFPVhlDrJNQ;@jdsguam;"I&#39;m pushing 70 yrs old now; but, I sure wish I was 30 again - such exciting times ahead!!  I&#39;d be all over this AI stuff.  As it is, I have about 20 LLMs stored on my laptop that generates cool stories for me to read and insanely cool art. All for free.";2024-03-10T05:10:25Z;9;;I'm pushing 70 years old now but, I sure wish I was 30 again such exciting times ahead!! I'd be all over this AI stuff. As it is, I have about 20 LLMs stored on my laptop that generates cool stories for me to read and insanely cool art. All for free.
UC4E3yt_6z7GR44K9H6TBoCw;@AtomickPixel;"of course, it&#39;s easy and exciting when you don&#39;t have to worry about your future.";2024-03-16T16:40:15Z;9;UC6l3j5nAAqZHkFPVhlDrJNQ;Of course, it .easy and exciting when you don't have to worry about your future.
UCtFEBtTJFHkZOwbyY5SokWw;@supritiphani1282;Excellent questions;2024-03-15T04:58:17Z;7;UCIR1x2hc-xWspdxg6NvYKMQ;Excellent questions
UCHgx2Q4PfQnzhglV7_Nvy5g;@Alteringrealitystudios;As a technician nope. I would like to see an AI install a 5 ton air conditioning unit for starters. That would be interesting.;2024-03-06T17:38:05Z;7;;As a technician nope. I would like to see an AI install a 5 ton air conditioning unit for starters. That would be interesting.
UCnQLupiE2DBA2Z3end9XyEA;@Liam-vb3xo;For now lol;2024-03-13T00:00:23Z;6;UClLe-PJOIVKcpNaKVPxlrmw;For now laugh out loud
UCxkYsLZUdZwLCXSf-1aLGfw;@mdsakisaqlain3898;Will Cloud Accounting, (Quickbooks, Xero, Wave etc.) be replaced as well?;2024-03-08T07:01:28Z;6;;Will Cloud Accounting, Quickbooks, Xero, Wave etc. be replaced as well?
UCKKr5IxKJGBOcpHZHmgfKZw;@auviance_tv;You have a beautiful way with words Patrick;2024-03-08T04:01:12Z;6;;You have a beautiful way with words Patrick
UCdIhxcVRvHs51pEjDds3AgA;@LunaBL206;"I think its time to give everyone the universal income for free every month, that&#39;s the only solution we survive.";2024-03-19T03:10:49Z;5;;I think it is time to give everyone the universal income for free every month, that .the only solution we survive.
UClLe-PJOIVKcpNaKVPxlrmw;@theslavicexperience;"AI can&#39;t fix houses. Paint, assemble, fix the garden but I can";2024-03-12T23:30:51Z;5;;AI can't fix houses. Paint, assemble, fix the garden but I can
UCsDTvXYEMwC9PnyB2RqFgGQ;@TonyStarkChillinFromHeaven;"Computer systems analyst? Im pretty sure this will be automated as well. In the previous company I worked for they replaced all the level 1 techs and created a robot that can do basic troubleshooting and escalate to a Level2 tech if nothing works. IMO these type of self service/robots will only get better with time to the point they&#39;ll eventually replace most of those type of jobs";2024-03-08T13:26:13Z;4;;Computer systems analyst? I am pretty sure this will be automated as well. In the previous company I worked for they replaced all the level 1 techs and created a robot that can do basic and escalate to a Level2 tech if nothing works. IMO these type of self-service robots will only get better with time to the point they'll eventually replace most of those type of jobs
UCXMtn3-9e-CLtZvMDQ3z_Kw;@user-vp2ig3rf8x;Adapt and move forward;2024-03-07T04:56:31Z;4;;Adapt and move forward
UClu5NPqE4JSwdQuogJtQxzw;@markchapa9989;"Came to say pretty much this. I work in automotive manufacturing as an engineer, and there are still severe limitations to what can be automated. Or rather, what is worth being automated.<br><br>Robots in manufacturing today are much too simple and not nearly smart enough to do alot of what our operators and staff do on a daily basis. It will be a very, very long time until technology advances and costs decrease sufficiently to make automating anything but extremely simple tasks financially viable.";2024-03-06T21:02:02Z;4;;Came to say pretty much this. I work in automotive manufacturing as an engineer, and there are still severe limitations to what can be automated. Or rather, what is worth being automated. Robots in manufacturing today are much too simple and not nearly smart enough to do a lot of what our operators and staff do on a daily basis. It will be a very, very long time until technology advances and costs decrease sufficiently to make automating anything but extremely simple tasks financially viable.
UCJsCfEWjCHZEUuF2YUVfOnw;@spammusubi9004;Yes they will and you should now be advocating for UBI now for the good of society or this current rash of political and social instability is going to ramp up 100 fold;2024-03-13T14:29:45Z;3;;Yes they will, and you should now be advocating for FBI now for the good of society or this current rash of political and social instability is going to ramp up 100-fold
UCVUejSDKGT4FzdOxSjYMZlw;@Whyusadd;South parks episode on this is bang on;2024-03-11T01:42:20Z;3;;South parks episode on this is bang on
UCoV00fhVI68byVHDwioCKTQ;@vicentehennep2521;OUTSTANDING Video!;2024-03-07T17:37:47Z;3;;OUTSTANDING Video!
UCXBW4M-ysTqqkbilUwYI87Q;@enigmarocker;"As someone who works in Ai (heavily), I can say that Ai will replace easily half or more of all jobs within 10 or 15 years (especially as Ai robots improve rapidly)..its not just white collar jobs, it will be lots of blue collar too. Anyone who thinks that an AGI highly-intelligent machine cant replace HR or attorneys, etc, is insanely wrong. Humans will still have &#39;work&#39;, but it will be very different after we have AGI. Humans would likely need to serve Ai in various ways, which I do not like. Elon Musk is right when he says that we will need a universal income...and as a capitalist I do hate that. The &#39;fix&#39; is to make laws now that ensure that humans can keep working, even when Ai is faster and smarter. I hope that some people read this and trust what this random guy on the internet says, its true...I don&#39;t like it, but its true. Just because I work in this field now doesnt mean I can fix things on my own.";2024-04-11T21:23:12Z;2;;As someone who works in Ai heavily, I can say that Ai will replace easily half or more of all jobs within 10 or 15 years especially as Ai robots improve rapidly .it is not just white collar jobs, it will be lots of blue collar too. Anyone who thinks that an AGI highly intelligent machine can not replace HR or attorneys, etc., is insanely wrong. Humans will still have work, but it will be very different after we have AGI. Humans would likely need to serve Ai in various ways, which I do not like. Elon Musk is right when he says that we will need a universal income...and as a capitalist I do hate that. The fix is to make laws now that ensure that humans can keep working, even when Ai is faster and smarter. I hope that some people read this and trust what this random guy on the internet says, it is true... I don't like it, but it is true. Just because I work in this field now does not mean I can fix things on my own.
