id;name;text;time;likes;reply
UCOqYFxugh1fVMpJubC8mqVQ;@josidasilva5515;replace politicians with AI;2023-07-03T16:10:21Z;191;
UCumzktl6xF3LlwFTnxvsOqg;@ArnoldVeeman;"I know my job as a composer will probably be replaced by ai, but I find it bittersweet (I know I am not allowed to think that way) that AI is also coming for the people that rejected my work because they rather used stock music (because it&#39;s cheaper, eventually) instead of a hand crafted original motion soundtrack. <br><br>But as I said for so many times: true quality will always prevail...";2023-07-06T06:17:38Z;138;
UC36qkGGJE-eoSHeAxs-cv2A;@general_electrics;"People seem to fall into two categories. Those who underestimate AI because they don&#39;t understand it. And those who over-estimate AI because they don&#39;t understand it.";2023-07-11T02:30:12Z;132;
UCczwri0ALfzErgjuM7Oo9yA;@BOMBON187;"When a CEO says they&#39;re not do doing any layoffs, they will be laying off people.";2023-07-04T17:31:28Z;105;
UCgJ19001fs5W3SHNgvMQZPg;@nanthawatkridakorn9015;This entire video could have been written by AI for all we know.;2023-07-14T07:03:08Z;87;
UCGO_qrPa98AQyrwdYBXGrVw;@oldhollywoodbriar;Oscar Wilde wrote that one day automatons would do all the labor and leave each person to find their inner artist. In reality AI is going to take all of the white collar and Artist jobs and send men back to fields to do labor.;2023-07-03T15:36:10Z;76;
UCRUekTktV8dN0WzHlz-wxPw;@thealaskanbascan6277;We need to really have a conversation about UBI now.;2023-07-03T19:08:17Z;43;
UCCq2dKUGQjqx4dIVStqQpoA;@sngs9565;Can CEO jobs being replaced by AI? Oh...yes! The real question is whether AI increases productivity or NOT?;2023-07-07T06:59:54Z;33;
UC33CQ9FBw9q75-VNSeKZTjA;@djp1234;I just want the housing market to crash.;2023-07-03T15:43:40Z;33;
UCcWcEDwsShjKwjMEolG5YIQ;@JTSunriseMusic;All boards need to replace CEOs with AI, most overpaid useless employees there are;2023-07-04T01:35:40Z;28;
UCOfc2wdDqhOYSE5ZlqpWuGw;@gian19791;Hollywood was running out of ideas so AI took over and made original content 😮😢😂;2023-07-03T17:07:57Z;28;
UC6JcCM5sHA32guz9qhiImhQ;@Whooshta;Or... and hear me out. Instead of the very short sighted UBI bandaid. We look at reworking our entire economy, supply chain and system of values as a species.;2023-07-03T16:30:12Z;27;UCBmHjRhhpYAdAFEDVcDZRzg
UCANuNFF8d-505_3KIB7PLIw;@buitrongkhoa;Andrew Yang warned us about this years ago, and people laughed at him;2023-07-03T15:54:16Z;26;
UCP_xYiAKfXb29oobdthFl5g;@TomNook.;Andrew Yang saw this almost 10 years ago!;2023-07-03T16:09:06Z;24;UCBmHjRhhpYAdAFEDVcDZRzg
