id;name;text;time;likes;reply
UCUNBONmGiqLY2LXHZstXGcA;@Lumumba_00;I’ve just lost my job to A.I  two hours ago. I saw it coming but never imagined it would happen this soon.;2024-02-26T21:41:57Z;5;
UCnoNNAeQEF6MbLmfV085uEw;@Bruce-xv1ir;Between the rise in the cost of living and the rise of layoffs in favor of AI, I’m left w/ the sense that it may be a hundred years before AI benefits the common man.;2024-03-06T02:53:59Z;3;
UCTLv9-oRH4n2YdemBOlvCrQ;@Dave-PL;"Just don&#39;t buy anything from companies who&#39;s pushing hardly to use AI instead of real humans.";2024-02-26T08:32:18Z;3;
UCl65qUQ02WH6gD7MaU8i-Bw;@Okra_winfrey;I work in marketing. AI is definitely not taking our jobs. The content AI is coming up with sounds AI generated. If anything, we use it to do our job faster. And Google is crawling sites to make sure the content was written by a human and that content will rank higher in the long run;2024-02-26T00:13:18Z;3;
UCRR6El9hGFzAxFYhV5lwccg;@lazarusblackwell6988;You cant lose a job if you dont have a job.;2024-03-13T09:10:37Z;2;
UCETydiYY8jhdQE0bg0V5-hg;@tamalchakraborty5346;It is really important for Elon Musk to win his case against OpenAI.<br>Also, government all over the world should introduce AI tax.;2024-03-13T08:40:10Z;2;
UCxdi6dYgoF464CYhMv1IPxQ;@BGTuyau;Sacrifice creativity and the human touch and pay the price ...;2024-02-28T15:55:10Z;2;
UChUot_pQj5hHvOo2Qt45kdQ;@karenguthridge527;"Once they figure AI  doesn&#39;t pay taxes then what happens ?";2024-02-25T17:15:57Z;2;
UCUyEyGRsWHQBpKV_iaXjF6w;@CT-yc4gd;A couple of things that this makes me think of is will the government be forced to look into a UBI of some kind or start playing restrictions on AI use. Even the creator of AI (Think it was chatgpt, not sure) stated that he fully regrets creating it because of this particular outcome.;2024-02-24T01:10:32Z;2;
UCGEo9taEOKwU_9WcNAojnJQ;@bmeht;Your thumbnails are bordering on insufferable.;2024-02-23T22:09:57Z;2;
UCUmg5ZxUIXd0K1lkn2NZvlw;@ancy1205;Probably become a worse Cyperpunk 2077, where people become cattle and cooperate fight each other using AI.;2024-02-23T09:29:15Z;2;
