id;name;text;time;likes;reply
UCXsuHsKd5JTEnJuYSbifKGA;@airaction6423;Self driving cars can drive really well on straight roads;2024-01-09T05:49:50Z;7;
UCflk4zTh_zO9bQYey00tyBA;@cellphone7223;"&quot;You will live in ze pods, eat ze bugs and take ze jabs!&quot;";2024-02-06T12:17:08Z;3;
UC2vFIgyqLqHvttjlrE7QnKQ;@EFoxVN;Thanks for a balanced view, Travis.;2024-01-30T10:11:45Z;2;
UC4h9jGb22LbPaYRgwCeP1Cg;@Tailsthef0x;"I believe programming isn&#39;t meant for humans. The downside is that you have to spend your days,nights or even your %15 of your entire life at the computer screen. Maybe it&#39;s high time the ai made the work for us.";2024-01-11T19:59:19Z;2;
UCJaMJvf_Mk4OswAHE8MxGkw;@sunscreen6895;"that put me at ease as a new programmer, thank you so much! I&#39;ve used chatgpt to help me debug a feel silly mistakes and ask for help when coding, and it&#39;s so helpful!";2024-01-07T15:11:49Z;2;
UCrqR1s8xj71-3p8XaDe6XNQ;@choppergirlghost;"<a href=""https://www.youtube.com/watch?v=uuvjOvAdnOk&amp;t=210"">3:30</a>  An idea that a computer programmer makes 220K a year is a total bold face lie.<br>Nobody will even hire you to program for even 22K a year.<br>Pie in the sky imagination fantasy.   They put this out to get many people becoming programmers, so they have an ocean of desperate slaves to pick from for non-existent jobs.";2024-04-24T19:14:09Z;1;UCrqR1s8xj71-3p8XaDe6XNQ
UCpt9DQYquTRhPT7zIQSoqMQ;@Fermosso;"&quot;don&#39;t look up&quot; is how I can basically resume this video.";2024-03-25T15:23:09Z;1;
UC0rS_mf9KO1An0rFBKZZokA;@podunkman2709;"This guy made presentation for... managers. Mostly naive and unskilled persons believing in &quot;A.I. magic&quot;";2024-03-11T21:39:58Z;1;
UCxPmoSXpPZNYW7LNKXig4eQ;@catoom10;I used GPT-3, what is told in the performance as example, for code and it was always useless and must be fixed before anywhere is used.;2024-02-27T14:38:40Z;1;
UCsMlajaFfC0LN2nZzPlYZgg;@beatrisprinz3421;Do you use Python for wordpress websites to replace PHP code?  Will appreciate much hearing from you. Thank you.;2024-02-22T13:37:11Z;1;
UCzSzNyn9I4ed8of5jRz-2Fw;@joeblow1688;"100% disagree withy this man&#39;s premise. Because, the trap this may lead Humanity into, can be horrible. Never let a &quot;machine&quot; think for you. I would ignore his &quot;advice&quot;. A &quot;machine cannot &quot;imagine&quot;, see &quot;beauty&quot; or &quot;feel&quot; when something is &quot;right&quot; or &quot;wrong&quot;. This goes way beyond the simple, transitioning from pen and paper to a calculator or, say a computer. It may change fundamentally what a &quot;Human&quot; is.";2024-02-06T06:39:49Z;1;
UCK98Ya6uUb0A3g_E_yP8pvg;@idegteke;"<a href=""https://www.youtube.com/watch?v=uuvjOvAdnOk&amp;t=1"">0:01</a> After that AI take-over the smartest 0.1% of the entire human race would be more than enough to provide direction and coding to achieve everything needed on Earth (and beyond), and the society would be sharply divided into replaceable operators and a very closed cast of influential lead developers. The members of the operator cast will only have authorization to post videos about cats and accidents. The thin middle class will contain the friends, family members or heirs of one from the super intelligent elite.";2024-01-30T00:14:10Z;1;
UC36P7XmJGUHzpVgKENwvK1g;@SeeAndDreamify;"Number of lines of code is such an irrelevant metric that I can&#39;t really take his value math seriously even as a rough estimate.";2024-01-29T23:19:02Z;1;
UCtPzMcSTkHlHeQMutEVeaEg;@tradfluteman;CS professors are in a special category of people that can be tricked by the current wave of AI, since they specialize in teaching broadly-known CS concepts, which AI excels at regurgitating and repackaging. Remember, large language models are great at two things: impressing us and letting us down. They impress us when we think up problems on the spot for them to solve (because we are not very creative), and they let us down when we allow the real world to come up with the problems (because we <b>*are*</b> very resourceful). Only trust a CS professor on this topic if they are actively using AI to assist them in experimental work.;2024-01-29T16:36:48Z;1;
UCTjqApffeuAo1G7-c7QGW7w;@andrewandrosow4797;Hello! I gave a task to the ChatGPT AI. I wanted to write a small program of audio compressing ADPCM (8 bit mono stream) using the C language.When I testing the code - there was crack in a speaker instead of audio. It is a very simple task .;2024-01-19T18:52:22Z;1;
UCBnMCBr5OIbbD-2VOJ9vGHA;@HenriqueAssuncaoc;I have been using AI tools for about a year now,  and i feel that people that says AI will completely replace developers have never coded anything more complex than a TODO list in their lives.;2024-01-18T12:17:26Z;1;
UCafSQflEt6FXDyQrZXp7oWQ;@survivingthetimes;Coders will be the new fast food workers.;2024-01-02T19:48:33Z;1;
UCF_AeN1s6EPCE7YkynDt0kg;@johnshortridge;"Honestly, &quot;Code Reviewer&quot; is not going to make a 200K salary.. AI will only go for mega corporations because there are no other customers that can fund it. I say... BE A PLUMBER.";2024-01-01T21:11:04Z;1;
UCD6uzex4ZikSuydbSJ-Z5qg;@jurassa9588;AI architecting, coding, and maintaining software entirely suggests AGI, not current AI. This would redefine careers, not just programming.;2024-04-29T06:22:57Z;0;
UCT3ui2jlG9dzSggwZQQVATA;@user-pz2py4tp3t;to all people in commnts, no offnse, we just dont want to accept AI is going to take over your living, its happening accept it,;2024-04-28T20:06:05Z;0;
UCT3ui2jlG9dzSggwZQQVATA;@user-pz2py4tp3t;You are stupid Travis, specify the new realm for those whom you wants to watch you videos tell them their value will be equivalent to just a translator with some bucks per month. clarify it;2024-04-28T20:05:05Z;0;
UCuExfRPG8PoAa2YD8ntHe3g;@adammoussa6114;Professor being payed to brainwhashe people in order to controlled them, by a stupid software programme and funded by billionaire;2024-04-28T10:56:18Z;0;
UCuExfRPG8PoAa2YD8ntHe3g;@adammoussa6114;Best advise! Never listen to billionaire ! Carry on ciding, yiu can develop something on yiur own to bypassed everything;2024-04-28T10:51:35Z;0;
UCOYPGl4zs_43VebUaCUQyqA;@Hammett849;"AI wont take programmer&#39;s job in any significant way. It is just a tool, a smarter tool to get things get done even faster. That&#39;s all to it.";2024-04-27T10:18:16Z;0;
UCrqR1s8xj71-3p8XaDe6XNQ;@choppergirlghost;"Never made any money from coding.          And I got started in 1982.  <br>The entire computer revolution came and went and I made at most $1,000 in sales and $1,000 in donations from my coding.  You can&#39;t live for 40 years on $2,000.   I survived on credit card pyramid borrowing and Food Stamps.  Boy did I code and try and write my heart out too.   No shortage of trying, no end of heartbreak.  You&#39;re an artist that never gets paid.";2024-04-24T19:12:33Z;0;
UCrqR1s8xj71-3p8XaDe6XNQ;@choppergirlghost;"<a href=""https://www.youtube.com/watch?v=uuvjOvAdnOk&amp;t=210"">3:30</a>  An idea that a computer programmer makes 220K a year is a total bold face l111e.<br>Nobody will even hire you to program for even 22K a year.<br>Pie in the sky imagination fantasy.   They put this out to get many people becoming programmers, so they have an ocean of desperate applications to pick from for non-existent jobs.";2024-04-24T19:18:38Z;0;UCrqR1s8xj71-3p8XaDe6XNQ
UCGPGirOab9EGy7VH4IwmWVQ;@TravisMedia;🤔;2024-04-24T19:20:07Z;0;UCrqR1s8xj71-3p8XaDe6XNQ
UCuJFnhNiGfEEeHGTp7984iA;@gr8b8m85;"Even if coding LLMs can&#39;t totally replace a SWE, programmer salaries will fall to poverty levels in expensive cities and $50k at FAANG companies. In a team of 10 SWEs, one programmer being 50% more productive with AI means 3 are permanently out of a job. Twice as productive? 5 SWEs are permanently out of a job. You do the math.";2024-04-23T20:38:39Z;0;
UCwEbRGzjCGiTSacyZ277kKw;@garyshades7279;I had a junior dev that used chatGPT to write his code. The result was unmaintainable shit. It ALL needed to be rewritten so it complied with installation standards.;2024-04-15T17:49:46Z;0;
UC0TOhsJ_o8SjqMY2BsmX6Kg;@Msyo_Jaber;Think traves ❤;2024-04-15T16:03:29Z;0;
UC-Xmt9C7g7W1rxEJXhLgicQ;@tbijondagmail;.... after covid fear mongering this sounds almost the same, it just tells people that fearmongers and people haters are everywhere in our lives....;2024-03-31T04:52:51Z;0;
UCzapODw3JJ4R21hXdva92XA;@soichirohonda267;How naïve you are...;2024-03-30T13:53:08Z;0;
UCMicZtvjl_ER3LJ7ac5Yjgg;@123fredv;"What I don&#39;t understand is that if AI took all most of our jobs than we would not have money to buy anything with so where would the money be made and from who what?  If AI takes most of our jobs the economy would be destroyed right?  Also as humans i would think we would want to be happy and a lot of us love what we do.  Why would humans invest in AI taking what we love to do?  Happiness vs just going faster?";2024-03-29T12:45:58Z;0;
UCLiV1GVr0keLxVjzEITWU0Q;@WilliamLiSci;😂;2024-03-29T08:57:19Z;0;
UCsaUWXLbYXWamVm5ODTSwdw;@2plus2eqaul5;from science to religion, i * hate these radical claims !!!;2024-03-26T18:13:10Z;0;
UCVP43W4COKvCjCkmqrqTeGA;@040entertainment5;People are naive. Hoping they will be smarter than AI;2024-03-26T14:22:30Z;0;
