id;name;text;time;likes;reply
UCxm4vXz5ayazFY9XMQYkcdQ;@bethraflowers5799;Yep. This is the last breaths of the Capitalist economic system.;2024-03-07T21:18:46Z;294;
UCkuJdZhO7N6ZMJPW-CWeX2g;@matthewviramontes3131;"I&#39;m a janitor and there&#39;s already robots that clean bathrooms and stuff. My job is just too cheap to invest in it though. Lol";2024-03-14T17:34:17Z;287;
UCK82mZkiiCYbLHhF-QarTOQ;@PhilllChabbb;I hope it frees people to truly do what they enjoy, without worrying about working to live.;2024-03-07T22:12:49Z;250;
UCHAE7Z2fBPl81RXemvPs_tA;@genegu888;This what Andrew yang has been saying for a long time. Capitalism needs Reformation, there should be a Data VAT where companies using peoples data should be charged and that money should be used to fund a UBI.;2024-03-13T23:11:52Z;195;
UCGJqe-o1y3JglVtSoupmjmQ;@Y0utubeCommentor;Im 28 and AI already took my first job. I was a bond trader for 5 years and tech eliminated like 85% of the job. A bond desk of 5 in 2018 with Chicago or NY salaries can now be operated by 1 person living in Ohio who also receives less 401k matching and equity bonuses then before. Now Im in FX and derivitives and took a paycut cause I think thatll be the one of the last portions of finance to get taken over. Just delaying the inevitable a few years lol. Its a survival game now. Marks right though get that money inside the most secure stocks possible now so the AI works partially for you.;2024-03-13T06:06:55Z;191;
UC_FQukqvdpms5Kr0QH7mR2A;@carloslfu;"The real answer is he doesn&#39;t know and nobody knows, just be flexible, open-minded and positive.";2024-03-14T23:09:30Z;181;
UCIQ8wBZgSBB2F21xlfpCmtA;@CozyCathodes;AI generated basketball league will have this guy sweating too;2024-03-15T22:28:56Z;115;
UCMDAIUclg-YtBHV4EgBWuZA;@Jeremiahking101;As someone who works in software. AI in its current state is not replacing us. Its is making us more productive by finding answering a bit faster than searching via stackoverflow threads. It only knows information thats out there. It is not generating anything new. It also cannot build an entire software application. It requires a lot of understanding across multiple systems before you can get an app to someones phone.<br><br>Edit:<br>LOL @ the comments about Devin and AI advancements.. Looks guys, AI will get better and better. There is no denying that but it will be a gradual change before it replaces an engineer, dev, or whatever the hell you want to be.<br><br>Just like when 3D printing was released, and Testlas self driving claims of 100% autonomous, its all over hyped. You dont see houses being built by machines in 1 week and you dont see a empty car delivering your amazon packages. There are way too many variables in software especially creating <b>**NEW**</b>  products. Anyone who has ever worked in the real world will know that new problems come up every day.;2024-03-14T16:32:41Z;108;
UCZfyR9uSm94_pJpbyXeuk5Q;@Barrrt;Universal basic income seems like the proper way to handle this;2024-03-13T15:16:52Z;79;
UCMDqqH3j1-KjN95pnxt8hXg;@stacy3581;Star Trek. Everyone lives on a ship and wears the same uniform.;2024-03-12T20:06:40Z;66;
UCO71963CwkoR7Mhu2PWN-lw;@faisal-ca;If all jobs are gone, then who will all corporations be selling their goods and services to?;2024-03-17T02:23:48Z;65;
UCoJXIFV3qymvdyrlPz3smWw;@EXEON727;telling my kid to be an essential worker like nurse, electrician, plumber;2024-03-15T16:02:34Z;65;
UCFMGElIY5Lyu8qoyNgAMGeQ;@UBI_NOW;AI will take your job;2024-03-07T23:20:06Z;61;
UCclB4Qz09uxxXiRNUnT5J_A;@bradle4162;"I hope that you&#39;re right and I&#39;m wrong. The computer was originally invented to help people be more productive and spend more time with their family. The galling gun was invented by a physician in the hopes that less men would be drafted. I suspect that what will happen is that institutions will just continue to waste our time with more and more productivity and never get satisfied.";2024-03-08T19:37:22Z;54;UCK82mZkiiCYbLHhF-QarTOQ
UCnZWL7tRMOw6Xpho8kDI7Cw;@monkmysterio;i can install a robot arm inside my taco truck to flip the meat for me!;2024-03-13T18:22:59Z;50;
UC0SbUi4WNPt5dcfneRNEBHw;@QuantPhilosopher89;"I think this is kind of overblown, especially with regards to programmer jobs. Look, the reason why these models are especially good at code is that there&#39;s a gigantic volume of high quality code out in the open on which these models could have been trained. That isn&#39;t the fact for the tasks of your average office worker. If these models had nearly as much data for those tasks, then nobody would single out programmer jobs as being especially threatened by this technology. And also it&#39;s worth noting that even with this gigantic volume of high quality data no model comes even close to replacing programmers today. Given that pretty much all of the potential training data for code has already been exploited (unless all of the proprietary code is released out in the open, which well...) the upside for these kinds of models is limited.";2024-03-09T09:46:48Z;49;
UCdwmjCADfa6jBoDVGw9eLBw;@jarryd8167;Universal Basic Income, real human freedom;2024-03-08T02:40:22Z;49;
UCyIbEQQcybyvIG-RMip9tTw;@dagobaker;we need unlimited workers in the healthcare industry......... like millions;2024-03-10T14:47:54Z;46;
UCNdfvVh1gSRBgc9MZ5qILZA;@TheDigitalGrowthHacksClub;"&quot;the automation of automation&quot; Yep that&#39;s going to change the labor force, unemployment, and the GDP all at the same time. I guess no one is rushing to be the first one to get to space anymore.";2024-03-09T23:48:04Z;37;
UCTnK6I20BagFXKPiatn4TEw;@boyblue3270;And the last breaths of many poor people.;2024-03-13T10:53:07Z;36;UCxm4vXz5ayazFY9XMQYkcdQ
UCL6uN6sATZL1J0K8wGoYhTA;@alberto4509;Check Devin AI and edit this comment later;2024-03-15T03:59:46Z;35;UCMDAIUclg-YtBHV4EgBWuZA
UCpqmEcbrj1kSA5Rl8RdK1xA;@Icedanon;"I don&#39;t have faith in those in power to lead us to that reality. Get ready to be poor.";2024-03-13T09:13:57Z;35;UCK82mZkiiCYbLHhF-QarTOQ
UCeFRjSl4EwC4MsVPXjSXnIg;@mypapaya590;"It&#39;s still a capitalistic economic system, except that AI labour will replace human labour. This is why Elon Musk is supporting Universal Basic Income.";2024-03-13T11:25:13Z;28;UCxm4vXz5ayazFY9XMQYkcdQ
UCqomzqNe2K83PfW_JD-oo_g;@feezee82;"I like how the reporter was completely clueless to what Mark was saying. &quot;So you are emphasising the importance of education?&quot; He completely missed the point that AI will take away most desk jobs, that re-education is pointless cause there is no demand for anything higher education teaches now.";2024-03-14T10:11:29Z;27;
UCjhfUDqem1h-8F6Y1QPnlQQ;@Rej-gc5zi;"Bullish on liberal arts majors? I got a history degree and highly disagree. The quality of candidates graduating with these degrees is very low based on my experience with others in my classes. The curriculum just isn&#39;t rigorous at all. The business school at my college had a minimum GPA to apply to get, humanities take all the flunkies";2024-03-08T17:33:47Z;23;
