id;name;text;time;likes;reply;CleanedText;ProcessText;SentimentScore;ActualLabel
UC3ox-8ZsbTY0E9Y2-RYqTYw;@daesoolee1083;My career started with this man. Now doing PhD in AI thanks to him in the first place.;2022-10-16T20:49:25Z;1355;;My career started with this man. Now doing PhD in AI thanks to him in the first place.;career start man phd ai thanks first place;0.8370000123977661;Positive
UCvzjIykEMAQF9x9Cchz3dJQ;@susannnico;"With markets tumbling, inflation soaring, the Fed imposing large interest-rate hike, while treasury yields are rising rapidly—which means more red ink for portfolios this quarter. How can I profit from the current volatile market, I&#39;m still at a crossroads deciding if to liquidate my $275k bond/stock portfolio";2023-09-20T14:39:53Z;113;;With markets tumbling, inflation soaring, the Fed imposing large interest rate hike, while treasury yields are rising rapidly which means more red ink for portfolios this quarter. How can I profit from the current volatile market, I m still at a crossroads deciding if to liquidate my 275k bond stock portfolio;market tumble inflation soar fed impose large interest rate hike treasury yield rise rapidly mean red ink portfolio quarter profit current volatile market still crossroad decide liquidate k bond stock portfolio;-0.5109999775886536;Negative
UCBZz1Zdg-KyyQXoyAeVmQEA;@aloo_explains;I owe him a lot for my knowledge of AI and ML today, Huge respect for Andrew Sir❤;2022-10-23T18:35:33Z;37;;I owe him a lot for my knowledge of AI and ML today, Huge respect for Andrew Sir;owe lot knowledge ai ml today huge respect andrew sir;0.9350000023841858;Positive
UCqcPIN6zoULZx-W6atXNGTg;@arsiveparkour6251;My career in AI started with this legend :);2022-10-14T04:53:04Z;33;;My career in AI started with this legend;career ai start legend;0.8610000014305115;Positive
UCZxJLt4RnQnN_c_ZnAMFXYA;@droma2366;who else thought it was Yang?;2022-10-13T11:10:08Z;26;;Who else thought it was Yang?;else think yang;-0.00800000037997961;Negative
UCbp_R2CF9mN9GdarTbs355A;@CopperDigitalInc;"As an entrepreneur, it&#39;s crucial to understand the potential of AI and how it can be applied to your business. From automating repetitive tasks to analyzing data and providing personalized experiences, AI can help businesses to increase efficiency, reduce costs, and drive growth. But it&#39;s not just about the technology; it&#39;s about being open to new ways of doing things, rethinking your business models, and finding new ways to create value for your customers.";2023-01-17T12:37:49Z;20;;As an entrepreneur, it .crucial to understand the potential of AI and how it can be applied to your business. From automating repetitive tasks to analyzing data and providing personalized experiences, AI can help businesses to increase efficiency, reduce costs, and drive growth. But it .not just about the technology it .about being open to new ways of doing things, rethinking your business models, and finding new ways to create value for your customers.;entrepreneur .crucial understand potential ai apply business automate repetitive task analyze data provide personalized experience ai help business increase efficiency reduce cost drive growth .not technology open new way thing rethink business model find new way create value customer;0.38600000739097595;Negative
UChuE9TYY-rZPP1iRL9XA5Lw;@edmondwan5893;Me too, first time I really looked into what AI is because of him too. Now I am studying master in AI.;2022-10-27T03:24:17Z;18;UC3ox-8ZsbTY0E9Y2-RYqTYw;Me too, first time I really looked into what AI is because of him too. Now I am studying master in AI.;first time really look ai study master ai;0.14399999380111694;Negative
UCoB0shTDLwSMxszIC3Xh-LA;@panashifzco3311;This is so informational and would make anyone to fall in love with A.I. Nailed it!;2022-12-06T11:20:07Z;15;;This is. Informational and would make anyone to fall in love with A.I. Nailed it!;informational make anyone fall love a.i nail;0.6309999823570251;Positive
UCvIsAxpXmQLJOrvlxbUEGFQ;@desrucca;Finally, the greatest teacher of all DS/ML/AI students;2022-10-22T22:36:25Z;15;;Finally, the greatest teacher of all DS ML AI students;finally great teacher ml ai student;0.949999988079071;Positive
UCvKkvS2YqwHbH_MnTSsT2_w;@richarddjarbeng7093;"Not all AI projects are massive and super expensive that can only be built by companies. Diving into AI I&#39;ve realized that small simple projects can use AI and that it can be a very simple thing to implement for even someone who doesn&#39;t have much experience or background in AI.";2022-10-17T14:09:14Z;14;;Not all AI projects are massive and super expensive that can only be built by companies. Diving into AI I ve realized that small simple projects can use AI and that it can be a very simple thing to implement for even someone who does not have much experience or background in AI.;not ai project massive super expensive build company dive ai realize small simple project use ai simple thing implement even someone not much experience background ai;0.23499999940395355;Negative
