id;name;text;time;likes;reply;CleanedText;ProcessText;SentimentScore;ActualLabel
UC89mhCd3opHpg6DAUl9y5QQ;@taterrhead;except all the skills required to get to the high level AI roles may be obsolete by the time you get there lol;2023-11-04T21:20:55Z;181;UCZH72l9MeEobl4rXtnz0kCg;Except all the skills required to get to the high level AI roles may be obsolete by the time you get there laugh out loud;skill require get high level ai role obsolete time get laugh loud;-0.6159999966621399;Negative
UCVW_buatZzSNKWbfitpyvCA;@ronneymccarthy6448;Small businesses using AI to take orders, for instance, is still taking jobs. AI is different than other innovations because is meant to be us, millions of jobs will be lost with no replacements.;2023-12-04T20:37:17Z;78;;Small businesses using AI to take orders, for instance, is still taking jobs. AI is different from other innovations because is meant to be us, millions of jobs will be lost with no replacements.;small business use ai take order instance still take job ai different innovation mean million job lose replacement;-0.30300000309944153;Negative
UCZH72l9MeEobl4rXtnz0kCg;@pythonbrothersandfamily;"@@taterrhead hahahaha that&#39;s a good one 😂 we are late again 😂😂😂😂";2023-11-04T22:54:25Z;54;UCZH72l9MeEobl4rXtnz0kCg;Hahahaha that .a good one we are late again;hahahaha .a good late;0.3050000071525574;Negative
UCt3KyY6w4ebILzkU6MelgiQ;@talkingplants6331;If AI makes a huge mistake, the managers wont have anyone to blame but themselves;2023-12-10T01:06:02Z;42;;If AI makes a huge mistake, the managers will not have anyone to blame but themselves;ai make huge mistake manager not anyone blame;-0.9110000133514404;Negative
UC1X1H4lLn866JOqo9srdazA;@edwardj3070;"Keynes predicted in the 1930&#39;s that productivity growth in the 20th century would be so great that people a hundred years hence would only need to work 20 hours a week to provide for themselves financially.    He did not include the effect of the concentration of wealth in the hands of a small minority of the society, the resulting political and economic priorities which have resulted in the majority of people working MORE hours in 2023 than in 1973 under more traumatic conditions.  Politics, not technology, is EVERYTHING";2023-11-26T07:14:27Z;35;;Keynes predicted in the 1930 .that productivity growth in the 20th century would be. Great that people a hundred years hence would only need to work 20 hours a week to provide for themselves financially. He did not include the effect of the concentration of wealth in the hands of a small minority of the society, the resulting political and economic priorities which have resulted in the majority of people working MORE hours in 2023 than in 1973 under more traumatic conditions. Politics, not technology, is EVERYTHING;keynes predict .that productivity growth th century great people year hence need work hour week provide financially not include effect concentration wealth hand small minority society result political economic priority result majority people work hour traumatic condition politics not technology everything;-0.03799999877810478;Negative
UCHwR34YmUIbTbwsEN11MgeQ;@Chicharrera.;I was 15 in 1985 when my parents bought my 16 year old brother a personal  computer. Then, I remember where I was when I first heard of the internet. It was February 1995 and I was 25. It was 1992 when I saw the first mobile phone in the office.  It only took 38 years and now we have the AI boom to face. Its all happened terrifyingly fast.😬;2024-01-07T06:52:13Z;20;;I was 15 in 1985 when my parents bought my 16 year old brother a personal computer. Then, I remember where I was when I first heard of the internet. It was February 1995 and I was 25. It was 1992 when I saw the first mobile phone in the office. Furthermore, it only took 38 years, and now we have the AI boom to face. Furthermore, it is all happened terrifyingly fast.;parent buy year old brother personal computer remember first heard internet february saw first mobile phone office furthermore take year ai boom face furthermore happened terrifyingly fast;-0.17599999904632568;Negative
UCiq9t5IRVLimDxqKPKwT3pw;@Patrick7dlc;The difference is AI will disrupt numerous professions simultaneously, and as it advances there will be increasingly more job disruptions.;2023-11-24T18:44:16Z;12;;The difference is AI will disrupt numerous professions simultaneously, and as it advances there will be increasingly more job disruptions.;difference ai disrupt numerous profession simultaneously advance increasingly job disruption;-0.7160000205039978;Negative
UCnligdQi5XHlQ60BJroj2bg;@chishamalama;I think what we also need to factor in here is that technology will reach a point where humans intervention will not be required and at that point there will be less jobs that actually pay a decent salary to match the cost of living today. We also need to discuss if there were new jobs being created they will not come with the same salary but rather they will pay minimum wage since everyone will have to work those said jobs;2023-11-23T12:28:28Z;11;;I think what we also need to factor in here is that technology will reach a point where humans intervention will not be required and at that point there will be fewer jobs that actually pay a decent salary to match the cost of living today. We also need to discuss if there were new jobs being created they will not come with the our salary but rather they will pay minimum wage since everyone will have to work those said jobs;think also need factor technology reach point human intervention not require point job actually pay decent salary match cost live today also need discuss new job create not come salary rather pay minimum wage everyone work say job;-0.8100000023841858;Negative
UCE5MhpY3pvBT8fV282rrzYA;@leonardomcpugo;"The main difference is that printing, steam engines and your other examples; it&#39;s that they generated many jobs.<br>The AI tools we have today are very versatile and can take much more jobs than it can create, and it will keep evolving in that direction.";2024-01-21T08:46:15Z;8;;The main difference is that printing, steam engines and your other examples it .that they generated many jobs. The AI tools we have today are very versatile and can take much more jobs than it can create, and it will keep evolving in that direction.;main difference print steam engine example generate many job ai tool today versatile take much job create keep evolving direction;0.5360000133514404;Positive
UC1GlMetgSSMsLo7X3zQiKTA;@AntonioVergine;"The missing point is that yes, with current AI we&#39;ll lose some jobs and create some new ones. But an AI better than gpt-4 will be totally destructive: when humans invented steam motors, it took a lot of time to make it better.  With new AIs, after you invented something new you can iterate and ask AI to make it better, and better, you will not have time for companies to catch up and compete on the same products anymore. You&#39;ll have an engineer AI that never sleeps and is able to get new versions of anything continuously. We&#39;re not ready for this imho.";2023-11-26T22:57:57Z;8;;The missing point is that yes, with current AI we ll lose some jobs and create some new ones. But an AI better than gpt 4 will be totally destructive when humans invented steam motors, it took a lot of time to make it better. With new AIs, after you invented something new you can iterate and ask AI to make it better, and better, you will not have time for companies to catch up and compete on the our products anymore. You ll have an engineer AI that never sleeps and is able to get new versions of anything continuously. We re not ready for this IMHO.;miss point current ai lose job create new one ai good gpt totally destructive human invent steam motor take lot time make good new ai invent something new iterate ask ai make good good not time company catch compete product anymore engineer ai never sleep able get new version anything continuously not ready imho;0.08399999886751175;Negative
UCdNuMVEYls0UK1XB4_tk5hg;@cybervigilante;"I&#39;m old enough to remember when the egg man came. But the eggs were Much better - small farm, open-range chickens who ate plants and bugs made the yolks blinding yellow, much better tasting, and Much more nutritious. Supposedly, there are now open range eggs available but there is also a lot of &quot;greenwashing&quot; - just a spoof kind of &quot;open range.&quot;";2023-11-25T19:42:51Z;7;;I m old enough to remember when the egg man came. But the eggs were Much better small farm, open range chickens who ate plants and bugs made the yolks blinding yellow, much better tasting, and Much more nutritious. Supposedly, there are now open range eggs available, but there is also a lot of greenwashing just a spoof kind of open range.;old enough remember egg man come egg much good small farm open range chicken eat plant bug make yolk blind yellow much well tasting much nutritious supposedly open range eggs available also lot greenwashing spoof kind open range;0.05000000074505806;Negative
UC2EoR6oN5lkHcpeAl1Ge4wA;@CJ-gv6bq;You are correct. According to one World Economic Forum document, ultimately 11 million people will be unemployed. I think that is a conservative number.;2023-12-19T10:07:35Z;5;UCVW_buatZzSNKWbfitpyvCA;You are correct. According to one World Economic Forum document, ultimately 11 million people will be unemployed. I think that is a conservative number.;correct accord world economic forum document ultimately people unemployed think conservative number;-0.017999999225139618;Negative
UC1ghyUjQ72-SZbqq3yTwrdA;@studentaccount4354;Yes, GIGO. AI is very stupid. It makes horrific mistakes often.;2024-01-06T22:13:15Z;4;UCt3KyY6w4ebILzkU6MelgiQ;Yes, GIGO. AI is very stupid. It makes horrific mistakes often.;gigo ai stupid make horrific mistake often;-0.8569999933242798;Negative
