id;name;text;time;likes;reply;CleanedText;ProcessText;SentimentScore;ActualLabel
UCtAyjoOSxroCFthpkIhiCEQ;@Because_Truth_Matters;From accountants to Engineers, not many are safe.;2023-06-03T02:56:27Z;152;;From accountants to Engineers, not many are safe.;accountant engineer not many safe;-0.8610000014305115;Negative
UC0bTh1kxKq8326pm_3xdryg;@jamespowers8826;"Anytime someone says that this or that job could take a long time to be replaced by AI, I question whether they actually understand AI. AI is improving exponentially now. That&#39;s a hard concept to grasp. &quot;A long time&quot; in AI development is a single day.";2023-06-06T11:54:31Z;114;;Anytime someone says that this or that job could take a long time to be replaced by AI, I question whether they actually understand AI. AI is improving exponentially now. That .a hard concept to grasp. A long time in AI development is a single day.;anytime someone say job take long time replace ai question actually understand ai ai improve exponentially .a hard concept grasp long time ai development single day;-0.1379999965429306;Negative
UC8GSzEAjTdFdieOqy0ROJtA;@iqbalmatondang;"I wish all of the world&#39;s leaders today could be changed by AI";2023-06-03T06:29:43Z;73;;I wish all the world .leaders today could be changed by AI;wish world .leaders today change ai;0.5360000133514404;Positive
UCTK51MF58vn0nrFuJ3VJsbQ;@17Perez;"We should boycott businesses and companies that want to replace humans with AI. <br><br>Unless we have a system where those replaced by AI will gain some time of benefit, we should not let AI take over in the workforce. Companies only care about profits, not people. If we don&#39;t do anything about it we are affirming that they can indiscriminately replace people with AI without consequences. Millions will be out of work and the competition for some positions will be fierce.";2023-06-03T08:45:18Z;71;;We should boycott businesses and companies that want to replace humans with AI. Unless we have a system where those replaced by AI will gain some time of benefit, we should not let AI take over in the workforce. Companies only care about profit is, not people. If we do not do anything about it, we are affirming that they can  replace people with AI without consequences. Millions will be out of work and the competition for some positions will be fierce.;boycott business company want replace human ai system replace ai gain time benefit not let ai take workforce company care profit not people not anything affirm replace people ai consequence million work competition position fierce;-0.8679999709129333;Negative
UC3In6vQ8k3kp6i8gs3hqf8Q;@jonnanderson6489;If you shower before work - worry. If you shower after work - worry later.;2023-06-03T08:19:53Z;55;;If you shower before work worry. If you shower after work worry later.;shower work worry shower work worry later;0.5979999899864197;Positive
UCkGGQQs-zCO-g8lUdeguk6w;@1964mcqueen;CEOs could easily be replaced. AI can analyze more data, know virtually everything happening in even the largest companies, and make decisions much faster and without emotion.<br>Or, they lay off most of their workforce and award themselves enormous bonuses.;2023-06-15T02:36:31Z;40;;CEOs could easily be replaced. AI can analyze more data, know virtually everything happening in even the largest companies, and make decisions much faster and without emotion. Or, they lay off most of their workforce and award themselves enormous bonuses.;ceo easily replace ai analyze data know virtually everything happen even large company make decision much fast emotion lay workforce award enormous bonus;-0.11299999803304672;Negative
UCfqfaG7xC0KRaEgdKR2VW-A;@fable8335;The most terrifying thing about ai is the fact that this broken tech is going to be trusted with way too much;2023-06-08T13:02:08Z;39;;The most terrifying thing about AI is the fact that this broken tech is going to be trusted with way too much;terrifying thing ai fact broken tech go trust way much;-0.9520000219345093;Negative
UCnWtLwl4ENJyYTX7fC-CI5w;@NikoKun;Their list is a bit off.. Creatives and teachers are both at high risk from AI. The jobs that remain at low risk on their list, not everyone can do those, in fact most people actively do not wanna do those jobs.;2023-06-03T12:35:36Z;34;;Their list is a bit off. Creatives and teachers are both at high risk from AI. The jobs that remain at low risk on their list, not everyone can do those, in fact most people actively do not want to do those jobs.;list bit creatives teacher high risk ai job remain low risk list not everyone fact people actively not want job;-0.828000009059906;Negative
UCKU_HTkqdKFcD0ABjVKvNww;@lineage13;"In the beginning it will just mean software companies will hire 50% less software developers. But the terrifying thing is the rate that AI is advancing at because it builds on it&#39;s self. Soon AI may replace everyone.";2023-06-03T03:21:12Z;26;UCtAyjoOSxroCFthpkIhiCEQ;In the beginning it will just mean software companies will hire 50 less software developers. But the terrifying thing is the rate that AI is advancing at because it builds on it .self. Soon AI may replace everyone.;beginning mean software company hire less software developer terrifying thing rate ai advance build soon ai replace everyone;-0.3580000102519989;Negative
UClt9fnuXwhfvD2_8YSenVKA;@user-kn6vw4sr2r;I was thinking of becoming a p0.rn star but even that is not safe with deep fakes;2023-06-14T10:59:00Z;26;UCtAyjoOSxroCFthpkIhiCEQ;I was thinking of becoming a p0.RN star, but even that is not safe with deep fakes;think become p.rn star even not safe deep fake;-0.41600000858306885;Negative
