id;name;text;time;likes;reply;CleanedText;ProcessText;SentimentScore;ActualLabel
UClaZlcA6eSU7UET07FExgIA;@Howtofewithlove;"The jobs at risk starts way back at <a href=""https://www.youtube.com/watch?v=avqMUyNrkGY&amp;t=503"">8:23</a>";2023-10-15T08:14:13Z;214;;The jobs at risk start way back at a ref;job risk start way back ref;-0.7590000033378601;Negative
UCv6c_hFFsK4w4LGT-IbON2g;@HallowJester;I don’t understand how anyone can think Ai is a good thing, from what I’ve been hearing it just comes with a insane amount of negative and just terrifying aspects if anything I just get more scared hearing about all the things it can effect especially making others lose their jobs i dont know how someone’s supposed to make a living and work without being terrified;2023-10-08T07:30:04Z;123;;I do not understand how anyone can think Ai is a good thing, from what I have been hearing it just comes with an insane amount of negative and just terrifying aspects if anything I just get more scared hearing about all the things it can effect especially making others lose their jobs i do not know how someone.supposed to make a living and work without being terrified;not understand anyone think ai good thing hear come insane amount negative terrify aspect anything get scared hearing thing effect especially make others lose job not know someone.supposed make living work terrify;-0.7839999794960022;Negative
UCSI-fwxVX-4XDCFn7xXmsYA;@hilaryjlittle;No one thinks their job will be taken because everyone thinks they’re an exception;2023-09-30T19:01:39Z;71;;No one thinks their job will be taken because everyone thinks they are an exception;think job take everyone think exception;-0.546999990940094;Negative
UCYvek4ZumpFPJFEbxU4IWeA;@mannykhan7752;I think companies would think hard before replacing the entire workforce with AI. Lawmakers have to step in and put a stop (or temporary brake) to AI because that will create a lot of liabilities that would basically do nothing but claim employment insurance from the government. This would have such a cascading effect on the economy that not even AI could fix.;2023-10-09T08:59:24Z;66;;I think companies would think hard before replacing the entire workforce with AI. Lawmakers have to step in and put a stop or temporary brake to AI because that will create a lot of liabilities that would basically do nothing but claim employment insurance from the government. This would have such a cascading effect on the economy that not even AI could fix.;think company think hard replace entire workforce ai lawmaker step put stop temporary brake ai create lot liability basically nothing claim employment insurance government cascade effect economy not even ai fix;-0.7829999923706055;Negative
UCvIFkod_R8GrPP3EsvpW0Lw;@TerryTappArt;"Why aren&#39;t CEOs, CFOs. COOs, and investors afraid of being replaced?";2023-08-24T01:07:38Z;53;;Why are not CEOs, CFOs. COOs, and investors afraid of being replaced?;not ceos cfo coo investor afraid replace;-0.5809999704360962;Negative
UCYBtKKZ1ogdymLZ3gPCuElQ;@medianvideos;"AI has already replaced my job as a copywriter. A friend was told directly by a guy who works for an advertising agency and he said &quot;We use Chat GPT now, and then might hire an editor to check over the final copy that&#39;s written by the AI. We don&#39;t need to hire copywriters full-time now.&quot; So yeah, I am virtually unemployable now… and I send many many job applications and never heard back from any of them. It&#39;s already happening, right now.";2024-02-16T08:27:09Z;52;;AI has already replaced my job as a copywriter. A friend was told directly by a guy who works for an advertising agency, and he said We use ChatGPT now, and then might hire an editor to check over the final copy that .written by the AI. We do not need to hire copywriters full time now. So yeah, I am virtually unemployable now and I send many job applications and never heard back from any of them. It .already happening, right now.;ai already replace job copywriter friend tell directly guy work advertising agency say use chatgpt hire editor check final copy .written ai not need hire copywriter full time yeah virtually unemployable send many job application never hear back .already happen right;0.05700000002980232;Negative
UCBGNTt9plD4swS4itdXDRkQ;@michamarkiewicz5355;"AI doesn&#39;t have money";2023-08-30T10:37:23Z;31;UCvIFkod_R8GrPP3EsvpW0Lw;AI does not have money;ai not money;-0.39800000190734863;Negative
UCWYYz0mHhwGSeRBNjr5RLPA;@Juli-bm7yl;AI and automation is definitely a good thing overall, it’s just we live under an economic system where we need to work to get money to pay for things. it’s not AI, it’s capitalism;2023-12-27T04:51:30Z;26;UCv6c_hFFsK4w4LGT-IbON2g;AI and automation is definitely a good thing overall, it .just we live under an economic system where we need to work to get money to pay for things. It .not AI, it.capitalism;ai automation definitely good thing overall .just live economic system need work get money pay thing .not ai it.capitalism;0.03200000151991844;Negative
UCO71th3n5BFJ5h-tE6ubOVQ;@irenleorr5539;People in general think that they are something special and exceptional;2023-10-18T09:51:42Z;26;UCSI-fwxVX-4XDCFn7xXmsYA;People in general think that they are something special and exceptional;people general think something special exceptional;0.30300000309944153;Negative
UCtYgCNwj-u1UI4agd3PP-IQ;@nsshing;As a software developer, one immediate threat to those low productivity workers is the massive drop in cost of automating tasks.<br>Automation in the future will require a lot less budget to hire developers. Those tasks that used to be too expensive to automate will not be anymore.<br>Even as of today, in some occasions, LLMs itself (with some setup) now can be used on-the-fly as automation tools without having to hire developers to write any code.;2023-12-05T18:34:40Z;20;;As a software developer, one immediate threat to those low productivity workers is the massive drop in cost of automating tasks. Automation in the future will require a lot less budget to hire developers. Those tasks that used to be too expensive to automate will not be anymore. Even as of today, in some occasions, LLMs it itself with some setup now can be used on the fly as automation tools without having to hire developers to write any code.;software developer immediate threat low productivity worker massive drop cost automate task automation future require lot less budget hire developer task use expensive automate not anymore even today occasion llms setup use fly automation tool hire developer write code;0.3970000147819519;Negative
UCzfVgxNlXHwmgAvja4J5XqQ;@danyukhin;"thx<br><br>office administration, legal and business &amp; financial operations (boring, repetitive tasks) are on the way out, basically";2023-12-22T20:08:34Z;20;UClaZlcA6eSU7UET07FExgIA;Thx office administration, legal and business financial operations boring, repetitive tasks are on the way out, basically;thx office administration legal business financial operation boring repetitive task way basically;-0.4300000071525574;Negative
UCVSUlObWaZowBVrM-7vpy5g;@sss1029;@@kevinc721 human art is deliberate and can be meaningful. AI art is made up of random squiggles and has no intent or meaning behind it because the algorithm isnt sentient, it just compiles something for you;2023-11-02T11:14:01Z;16;UC5eIkohAcVmw5ELRRcX8ZFw;Human art is deliberate and can be meaningful. AI art is made up of random squiggles and has no intent or meaning behind it because the algorithm is not sentient, it just compiles something for you;human art deliberate meaningful ai art make random squiggle intent meaning algorithm not sentient compile something;0.0020000000949949026;Negative
UCSmO_0hjZS0iimNQuEd3BIg;@WilliamBTCWallace;@@irenleorr5539We are exceptional.  It’s all a matter of perspective. The chances of us ending up as human beings on this planet at this time are incalculable. I would say that’s exceptional.;2024-01-20T01:26:14Z;13;UCSI-fwxVX-4XDCFn7xXmsYA;Are exceptional. It .all a matter of perspective. The chances of us ending up as human beings on this planet at this time are incalculable. I would say that.exceptional.;exceptional .all matter perspective chance end human planet time incalculable say that.exceptional;0.2029999941587448;Negative
UClyaMh-bQM9qvl4sWtZeIdQ;@maximumcustoms2482;"​@@kevinc721You can&#39;t AI generate a handmade painting. Very simple.";2024-02-12T09:31:22Z;12;UC5eIkohAcVmw5ELRRcX8ZFw;can not AI generate a handmade painting. Very simple.;not ai generate handmade painting simple;0.024000000208616257;Negative
UCipEveIwII_JpAMX9MWp1ag;@user-pg8gg6zs4m;There will be riots;2024-02-19T10:57:05Z;9;UCYBtKKZ1ogdymLZ3gPCuElQ;There will be riots;riot;-0.949999988079071;Negative
UCWfZjKt2yVxz_GBbRdz7vkg;@derekrequiem4359;"Oh, they are. There was a poll by edX in September that said half of CEOs believe that their own jobs could be replaced by AI. There&#39;s also been a small handful of companies that have already done so.";2023-10-21T21:10:23Z;9;UCvIFkod_R8GrPP3EsvpW0Lw;Oh, they are. There was a poll by EDX in September that said half of CEOs believe that their own jobs could be replaced by AI. There .also been a small handful of companies that have already done .;poll edx september say half ceos believe job replace ai .also small handful company already;0.014999999664723873;Negative
