id;name;text;time;likes;reply
UCds1d9ZDLejQwDf9nM6UBzw;@makeki7756;Tldr<br>Energy related<br>Biology related<br>Those who make AI;2024-04-12T18:03:36Z;370;
UC7-sewl_4Eb-kvjDbfZq4KQ;@PsyHappyness;Lawyers will survive forever, even Cases related to AI app and AI fraud is handled by them.;2024-04-12T17:38:00Z;198;
UCJMD9EG7cYroG4_wLkVPYHg;@Deepakkumar-cn9vq;anchor she is reading the news jobs is also not safe ,AI anchors we can see everywhere;2024-04-12T18:00:56Z;124;
UCNH_csyh2ZEZqQ_Wv3bK6KQ;@Bhairavvvv;Women are immune to AI ,they can run their show even if robots replace them;2024-04-12T18:08:29Z;55;
UC20l7QfHuI5lTjGW4FqzHdA;@BhayankarYodha;Trade realted jibs will be high paying and demanding....like electrucians, plumbers, carpenter, pipefitter, welder, drywaller, brick masonary etc;2024-04-13T02:27:56Z;40;
UC7OD5ldvfnQfspSQCuLon1Q;@shadabahmed;AI is just a tool it will help to accelerate each task. <br>Anyway nothing is gonna change  next 10-15 years. AI still need long way to travel.;2024-04-13T07:27:58Z;37;
UCyW5MKMeo5wuBPFkiL3cWBw;@cassiejacobs4197;Last year, I was working full time, budgeting groceries, unable to afford date nights, and missing time with my kids. Now I learned how to make money online. Now am a SAHM, homeschooling, and making profits every week.;2024-04-16T12:21:12Z;33;
UCDYXxla07HLA92SNNwruGSg;@anandhindu3123;"AI can&#39;t replace jobs that involve human touch....... !!!";2024-04-13T05:24:52Z;29;
UCFHmkNHsasPovKwDgVyUCMw;@jesseinfinite;That pokemon metaphor sucks.<br>Pokemon are neither rare, nor hard to catch.<br>Shiny pokemon on the other hand are rare.<br>Legendary pokemon are hard to catch.;2024-04-12T19:39:46Z;27;
UC5vXMZJl9P-QWluFbEDvJQw;@yogames6199;How about we get unviersal pay and dont have to work and we spend time playing games watching movies and enjoying life;2024-04-12T21:05:11Z;22;
UC3DQao8Q94gxF8uREuA8f8w;@Alexibawendi;"As a newbie that wants to invest, you must have these three things in mind<br>1. Have a long term mindset.<br>2. Be willing to take risk.<br>3. Be careful on money usage, if you&#39;re not spending to earn back, then stop spending.<br>4. Never claim to know - Ask questions and it&#39;s best you work with a financial advisor.";2024-04-13T04:42:51Z;21;
UCsVoDnSEsmdxp5w75c7raiA;@Gavinleeyoutube;"I heard the first jobs in the medical field that will get replaced will be Pharmaceutical jobs, if you&#39;re going to school for that, good luck";2024-04-12T21:29:57Z;21;
UCYXIgVjKXx1H8V9zptaD4YA;@NormanLor;"I DON&#39;T THINK ANY POSITION INCLUDING CEOS AND ACTUAL COMPANY OWNERS IS IMMUNE FROM AI&#39;S BOOT!!";2024-04-12T19:05:41Z;17;
UC-jgbA3YxqkoIV8zXvT2XQw;@lemuelcatral6230;and embalmers..;2024-04-13T00:02:50Z;17;UCds1d9ZDLejQwDf9nM6UBzw
UC-h3PP3gM8xcBvhQPkLjomQ;@jagjot-singh;AI jobs are not in demand, they are very few.;2024-04-12T18:15:23Z;16;
UCyfHMJpCBZL4tnqOJJEcOEw;@swerve361;"It&#39;s impossible for AI to replace writers and artists. Nowadays, most people are nothing but soulless automatons who are slowly replacing their dependency on religion for capitalist pursuits... which is a pursuit only possible by an increase in prescription drugs, caffeine and other dangerous methods on the population. <br>The value of a creative perspective is extremely on high demand especially because most artists, writers and directors are garbage trapped in fulfilling the needs of investors who hate anything new and will censor anything that challenges the status quo. <br><br>Most individuals are desperate for a fresh pov from an actual human who took decades to master an actual freaking talent. Saying that AI can replace the main creative jobs is like sitting around a campfire and listening to a story by a robot instead of the experiences of your father, the limitations of your mentors etcc";2024-04-12T18:31:41Z;15;
UCfOdObLyKXNaMWH5AcXDPAw;@math97003;what about farmers?;2024-04-13T11:42:28Z;11;
UC7s34x_4oHKMNkKG349AUEA;@taniyadutta8;Become a construction labour, house painter, cook, plumber etc etc... never getting replaced;2024-04-13T06:39:50Z;11;
UCbk5J3dFU8H_DnwO0Q6kocg;@hcm9999;"Three Jobs That Will Survive AI:<br>1. Multinational company CEO<br>2. Billionaire<br>3. Trillionaire";2024-04-23T12:56:36Z;10;
UCBcBADUYWBZlx5hUn2ItbgQ;@lakshmitejas1685;Who tests AI?;2024-04-13T01:44:50Z;10;UCds1d9ZDLejQwDf9nM6UBzw
UCsTzJ1tDA88xdDIfRdjDbvA;@Dr.freedom;"AI can&#39;t replace Bureaucrats, Movie Artists, Politicians , Doctors, Nurses, Dentists, Pathologists ,Civil and Engineers on the field, Labour intensive jobs, the list can go on. But a lot will be highly influenced by AI and some will be removed by AI as well.";2024-04-15T11:04:41Z;8;
UCNmX2yg6nQbLGBvWYRGzn4w;@adwaitvedant3297;Next year you will see its impact !! An avalanche is coming;2024-04-12T18:08:29Z;8;UCs8-YzMwmeRJjzJB9tAdlkg
UCtDeol_6qFq8KtxwklxmTsg;@s.a.muhammed6355;I have observed that AI designers being human have resulted in flaws in design that require correction. Technicians of various kinds will be required to fix these errors.;2024-04-13T23:33:36Z;7;
UCK_0ZwYQYmiKG45OC05lDpg;@Krishna-uu6gf;IT manager jobs are safe, else who would approve AI projects;2024-04-13T05:58:41Z;7;
UCjXaCGEaVkaiMr5BZ90APmw;@ansumanansuman1010;What about job as a teacher;2024-04-13T03:57:19Z;7;
UC2OiG6nq9mveW0yZZHfV27Q;@amirhirani4636;Palki proud of you bravo keep it up.;2024-04-12T20:14:30Z;7;
UCNLsDS66jLmtNx1O4zSk5GA;@bharath2508;"Because robots are already naked and people are used to it.<br><br>Robot don&#39;t show their body to earn money.";2024-04-12T20:21:59Z;7;UCNH_csyh2ZEZqQ_Wv3bK6KQ
UCs8-YzMwmeRJjzJB9tAdlkg;@ramanjeet1111;INDIA  HAS NOT SEEN ANY IMPACT OF AI SO FAR;2024-04-12T17:55:26Z;7;
UCH4evZnZrRz6dbjF9shWC3g;@Gauravkumar-jm4ve;Mostly all field jobs are AI proof;2024-04-13T07:19:01Z;6;
UCNqKPu2U5gQou6vAuddcjzw;@cheesengyeap524;Get a sugar daddy to pay for it;2024-04-13T01:03:19Z;6;UC5vXMZJl9P-QWluFbEDvJQw
UC664CofxesCfqMMEKMCu7XQ;@SagarKumar-kg5jn;robots ka kaam insan kare lekin salary insan ko he mile;2024-04-12T18:40:20Z;6;
UClR_YAT7dQm11R4fzkjaNGg;@hanfucolorful9656;We need more lawyers to handle the increasing cases of Indian scammers.;2024-04-12T18:17:15Z;6;UC7-sewl_4Eb-kvjDbfZq4KQ
UCvgYCxezZwEQlMaRB7UwwuA;@santhoshkumar-it8qn;Yes i know, most of the jobs are replaced;2024-04-12T17:37:45Z;6;
UCjlWpSGF5VQRtNQDaCtDDbw;@isabelleossey6762;Live entertainment will not be replaced - I will never consider watching Robots perform;2024-04-13T11:25:38Z;5;
UCsAe8zUXGOk46gjZn27s2TQ;@NatalieDormer-or4jj;Everyone needs more than their salary to be financial stable. The best thing to do with your money is to invest it rightly, because money left for saving always end up used with no returns.;2024-04-16T12:22:26Z;4;UCyW5MKMeo5wuBPFkiL3cWBw
UC1HDAz7IDPDewQ8GBw5LBpQ;@ranjithrpj;Carpentry, building work;2024-04-19T02:24:22Z;4;UCDYXxla07HLA92SNNwruGSg
UCDA-cBXm2dYAI7Zdi3jgohw;@VR-fh4im;"No technology job will be taken away by AI maybe except computer science programmers&#39; job.";2024-04-13T02:09:27Z;4;
UC5s7XUaLE0OehwsEn4yjSYw;@victorcoleman3521;MY Software Engineering Job And Game Dev job is safe haha;2024-04-12T17:38:47Z;4;
UCMeEgBgGv_3p73IvKgS1BhA;@TheLearner048;Who said?;2024-04-12T17:48:06Z;4;UC5s7XUaLE0OehwsEn4yjSYw
